date,time,total_hardness,total_chlorine,free_chlorine,ph_strip,total_alkalinity,stabilizer,ph_instrument,water_temp
9/3/2022,16:00,,,,,,,7.41,87.3
9/3/2022,17:00,,,,,,,7.41,88.5
9/7/2022,11:43,500,1,0,6.8,40,40,7.78,88.1
9/7/2022,14:44,250,2,0,6.8,40,40,7.70,90.1
9/7/2022,15:45,250,2,0,6.8,40,40,7.68,88.3
9/7/2022,16:45,250,3,2,6.8,40,40,7.72,88.5
9/7/2022,17:45,250,3,3,6.8,40,40,7.71,87.4
9/8/2022,10:48,250,3,3,6.8,40,20,7.71,86.1
9/9/2022,13:48,350,5,3,6.2,20,0,7.65,87.0
9/9/2022,15:32,250,5,3,6.2,40,40,7.70,87.4
9/10/2022,7:54,250,5,5,6.2,40,40,7.70,85.2
9/10/2022,14:33,250,10,10,7.8,20,0,7.66,85.6
9/10/2022,15:49,250,10,7.5,6.8,20,0,7.64,87.0
9/10/2022,20:07,250,10,10,6.8,20,0,7.57,87.2
9/11/2022,9:23,250,99,99,6.8,20,0,7.53,85.2
9/11/2022,13:25,250,99,99,6.8,20,0,7.56,86.5
9/11/2022,17:04,250,99,99,6.8,20,0,7.56,87.2
9/12/2022,9:07,250,10,10,6.8,20,0,7.71,84.2
9/12/2022,16:19,250,10,10,6.8,20,0,7.52,87.4
9/12/2022,21:05,250,10,10,6.8,20,0,7.61,86.2
9/13/2022,8:52,250,10,10,6.8,40,40,7.68,84.2
9/13/2022,17:45,250,5,4,6.8,20,0,7.54,
9/14/2022,10:59,250,5,5,6.8,40,40,7.63,85.9
9/15/2022,10:02,250,10,4,6.8,20,0,7.70,84.0
9/16/2022,13:41,250,10,4,6.8,20,0,7.74,84.9
9/17/2022,9:38,250,99,99,7.8,120,70,8.64,82.5
9/17/2022,11:05,375,99,99,7.8,120,70,7.93,83.4
9/17/2022,12:00,250,99,99,7.2,100,40,7.54,83.3
9/17/2022,16:03,250,99,20,7.2,80,40,7.66,84.2
9/18/2022,9:20,250,99,20,7.2,80,40,8.09,81.6
9/18/2022,9:53,250,99,20,7.2,80,40,7.90,81.6
9/18/2022,11:20,250,10,10,6.8,80,40,7.91,82.4
9/18/2022,12:48,250,10,10,6.8,80,40,7.60,82.7
9/18/2022,16:59,250,5,5,6.8,80,40,7.60,84.5
9/18/2022,17:18,250,5,5,6.8,80,40,7.68,84.7
9/19/2022,8:05,250,99,99,7.2,80,40,8.13,82.0
9/19/2022,9:05,250,99,99,7.8,40,0,7.24,82.5
9/19/2022,17:59,250,10,10,6.8,40,0,7.47,84.7
9/20/2022,8:38,250,10,7.5,6.8,40,20,7.68,84.0
9/20/2022,15:49,250,3,3,6.8,40,40,7.72,86.0
9/21/2022,12:05,250,1,0,7.2,80,40,7.88,84.2
9/21/2022,13:03,250,0.5,0,6.8,40,0,7.14,84.7
9/21/2022,14:28,250,0.5,0,6.2,40,0,7.18,84.7
9/21/2022,19:07,250,1,0.5,6.2,40,0,7.30,84.2
9/21/2022,19:59,250,1,0.5,6.2,40,0,7.31,84.5
9/21/2022,20:51,250,1,0.5,6.2,40,0,7.34,84.7
9/22/2022,9:25,250,2,0.5,6.8,40,0,7.46,82.5
9/22/2022,11:18,250,3,3,6.2,40,0,7.47,83.4
9/23/2022,10:14,250,3,1,6.2,40,0,7.61,82.5
9/23/2022,12:50,250,3,2,6.2,40,0,7.60,84.0
9/23/2022,16:48,250,3,3,6.2,40,0,7.66,84.5
9/24/2022,11:06,250,3,1,6.2,40,0,7.69,82.7
9/25/2022,14:43,250,5,5,6.2,40,0,7.62,84.2
9/26/2022,11:01,250,5,5,6.2,40,0,7.71,82.7
9/28/2022,9:48,250,5,5,6.8,40,0,7.84,79.1
9/30/2022,16:27,250,3,3,6.2,40,0,7.82,78.4
10/5/2022,13:05,250,3,0,6.8,40,0,7.77,76.8
10/8/2022,13:05,250,3,0,6.8,40,0,7.89,77.3
10/12/2022,13:30,250,5,5,6.8,40,0,8.06,81.3
10/19/2022,12:49,250,5,4,6.8,40,0,7.88,74.8
10/22/2022,16:23,250,5,4,6.8,40,0,7.75,73.7
10/27/2022,16:42,250,3,1,6.8,40,0,7.94,77.7
11/5/2022,13:25,250,3,3,6.8,40,0,8.04,78.8
11/12/2022,8:30,100,0,0,6.8,40,0,8.07,75.5
11/12/2022,10:57,100,3,0,6.8,40,0,7.92,76.8
11/13/2022,11:32,100,0,0,6.8,40,0,7.90,77.0
11/13/2022,13:41,100,0.5,0,6.8,40,0,7.87,76.6
11/14/2022,15:02,100,0,0,6.8,40,0,7.61,76.8
11/14/2022,16:34,100,1,0.5,6.8,40,0,7.70,76.2
11/21/2022,10:50,100,0,0,6.8,40,0,8.17,70.1
11/30/2022,13:49,100,0,0,6.2,40,0,8.10,73.9
12/1/2022,16:41,100,0.5,0,6.8,20,0,7.69,73.7
12/1/2022,17:39,100,3,1,6.8,40,0,7.77,73.0
12/2/2022,16:54,100,1,0,6.8,40,20,7.80,73.0
12/5/2022,13:15,100,1,0,6.8,40,0,7.88,72.5
12/12/2022,13:28,100,3,2,6.8,40,0,7.87,72.3
12/21/2022,9:18,100,3,3,6.2,40,0,8.01,66.9
1/4/2023,13:59,100,5,5,6.2,40,0,7.70,71.7
1/13/2023,12:43,100,0.5,0.5,6.8,40,0,8.03,67.6
1/30/2023,13:31,100,0.5,0.5,6.2,40,0,8.03,71.2
1/30/2023,15:08,100,1,1,6.8,40,0,7.52,71.7
2/13/2023,17:01,100,0.5,0,6.8,40,0,8.13,68.8
2/21/2023,14:05,100,1,0,6.8,40,0,7.88,78.2
3/5/2023,15:00,100,0,0,6.8,40,0,8.19,79.5
3/5/2023,16:25,100,0,0,6.8,40,0,7.55,78.9
3/6/2023,6:54,100,10,5,6.8,40,0,8.06,77.5
3/6/2023,8:03,100,10,4,6.8,40,0,7.45,77.3
3/6/2023,9:45,100,5,3,6.8,40,0,7.45,78.2
3/6/2023,16:22,250,5,3,6.8,40,0,7.55,79.8
3/9/2023,12:28,100,3,2,6.8,40,0,7.77,76.1
3/14/2023,13:30,250,1,1,6.8,40,0,7.99,74.4
3/21/2023,10:09,100,3,2,6.8,40,0,8.01,64.7
3/23/2023,12:19,100,3,2,6.8,40,0,7.93,73.0
3/23/2023,13:34,100,3,2,7.0,60,0,8.03,73.7
3/23/2023,15:55,100,3,2,7.8,80,0,8.03,74.8
3/23/2023,17:58,100,3,3,6.2,40,0,7.59,74.4
3/24/2023,12:30,100,3,2,6.8,40,0,7.77,75.2
3/27/2023,13:19,100,3,2,6.8,40,0,8.08,79.1
3/28/2023,14:26,100,1,1,6.8,100,0,8.40,81.5
3/28/2023,15:21,100,1,1,6.8,100,0,7.68,82.0
4/2/2023,17:22,250,1,0,6.8,40,0,8.32,79.8
4/2/2023,18:25,250,3,3,6.8,40,0,7.61,78.8
4/2/2023,19:19,250,5,3,6.2,40,0,7.39,79.8
4/9/2023,11:02,250,0,0,6.8,60,0,8.37,78.4
4/9/2023,12:13,250,0,0,6.2,40,0,7.62,78.0
4/9/2023,13:14,250,0,0,6.2,40,0,7.25,79.1
